price_btc,price_usd,total_supply,available_supply,symbol,24h_volume_usd,rank,id,market_cap_usd,supply_released,traded vol of mcap
1.0000000000,2609.7600000000,16472312,16472312,BTC,771386000,1,bitcoin,42988780965,1,2%
0.0796384000,206.3750000000,93587743,93587743,ETH,497258000,2,ethereum,19314170397,1,3%
0.0000675000,0.1749300000,99994550338,38332289584,XRP,42990700,3,ripple,6705467417,0.383343787,1%
0.0163294000,42.3160000000,52187932,52187932,LTC,87894700,4,litecoin,2208384546,1,4%
0.0769571000,199.4270000000,7451056,7451056,DASH,37213100,5,dash,1485941814,1,3%
0.0000622300,0.1612520000,8999999999,8999999999,XEM,2686870,6,nem,1451268000,1,0%
0.0057060100,14.7866000000,93951296,93951296,ETC,31340400,7,ethereum-classic,1389220233,1,2%
0.0001080700,0.2800540000,2779530283,2779530283,MIOTA,5360600,8,iota,778418574,1,1%
0.0177610000,46.0261000000,14845167,14845167,XMR,30210000,9,monero,683265153,1,4%
0.0019946900,5.1690400000,98479381,98479381,STRAT,12353200,10,stratis,509043861,1,2%
0.0007315000,1.8956300000,1000000000,244941316,EOS,72618800,11,eos,464318107,0.244941316,16%
0.0248575000,64.4159000000,7311237,6280305,BCC,3192270,12,bitconnect,404551516,0.858993492,1%
0.0028756900,7.4520700000,100000000,50000000,ANS,13601600,13,neo,372603500,0.5,4%
0.0023919800,6.1985900000,100000000,59000000,QTUM,15982400,14,qtum,365716810,0.59,4%
0.0000539500,0.1398130000,2597240000,2597240000,BTS,58233600,15,bitshares,363127916,1,16%
0.0730106000,189.2000000000,1829456,1829456,ZEC,14009500,16,zcash,346133123,1,4%
0.0003873400,1.0037500000,324951410,319501313,USDT,81955200,17,tether,320699443,0.983227963,26%
0.0593198000,153.7220000000,100000000,2006279,VERI,1172830,18,veritaseum,308409287,0.02006279,0%
0.0004945600,1.2816100000,254995301,238021207,STEEM,1371720,19,steem,305050359,0.933433699,0%
0.0012934500,3.3518500000,100000000,87000000,ICN,2263860,20,iconomi,291610950,0.87,1%
0.0010943700,2.8359600000,100000000,100000000,WAVES,2055240,21,waves,283596000,1,1%
0.0000033700,0.0087343400,28087694430,28087694430,SC,5927230,22,siacoin,245327473,1,2%
0.0000004900,0.0012798000,183176864839,183176864839,BCN,703222,23,bytecoin-bcn,234429752,1,0%
0.0779578000,202.0200000000,10000000,1104590,GNO,549668,24,gnosis-gno,223149272,0.110459,0%
0.0007623600,1.9755700000,110130295,110130295,LSK,2135460,25,lisk,217570107,1,1%
0.0000977300,0.2532660000,1000000000,833032000,GNT,1642830,26,golem-network-tokens,210978683,0.833032,1%
0.0000074000,0.0191820000,103117266298,10773071844,XLM,5558330,27,stellar,206649064,0.104473986,3%
0.0000228700,0.0592709000,6804870174,3470483788,SNT,39808500,28,status,205698698,0.51,19%
0.0000007100,0.0018334100,110395541698,110395541698,DOGE,3167600,29,dogecoin,202400290,1,2%
0.0070983700,18.3948000000,11000000,11000000,REP,1731010,30,augur,202342800,1,1%
0.1860160000,482.0440000000,1000000,365903,GBYTE,364543,31,byteball,176381350,0.365903,0%
0.0071830800,18.6143000000,8753219,8753219,FCT,1542990,32,factom,162935044,1,1%
0.0001319300,0.3418950000,452552412,452552412,MAID,1504470,33,maidsafecoin,154725407,1,1%
0.0000067300,0.0174400000,8742253657,8742253657,DGB,9986100,34,digibyte,152464904,1,7%
